Company Name,Date Priced,Market,Offer Amount,Price,Shares,Symbol,1D,1W,1M,3M
"CATCHMARK TIMBER TRUST, INC.",2013-12-12,New York Stock Exchange,142105266,13.5,10526316,CTT,-0.002222222,0.001481481,0.017777778,-0.007407407
SCORPIO BULKERS INC.,2013-12-12,New York Stock Exchange,305175000,9.75,31300000,SALT,-0.033846145,-0.020512769,0.025641026,0.015384573
TETRALOGIC PHARMACEUTICALS CORP,2013-12-12,NASDAQ,50050000,7,7150000,TLOG,0.007142857,0.024285714,0.287142857,0.227142857
GLYCOMIMETICS INC,2014-01-10,NASDAQ,56000000,8,7000000,GLYC,-0.158653846,0.128846154,-0.110576923,0.463461538
"AKERS BIOSCIENCES, INC.",2014-01-23,NASDAQ,14998500,5.5,2727000,AKER,-0.028268551,-0.06360424,-0.151943463,-0.233215548
SANTANDER CONSUMER USA HOLDINGS INC.,2014-01-23,New York Stock Exchange,1799795280,24,74991470,SC,-0.018252388,-0.001165087,0.001941709,-0.104466058
CARE.COM INC,2014-01-24,New York Stock Exchange,90950000,17,5350000,CRCM,0.184347109,0.235266489,0.07024998,-0.409240896
DICERNA PHARMACEUTICALS INC,2014-01-30,NASDAQ,90000000,15,6000000,DRNA,0.453333267,0.133333333,0.345666633,-0.422333333
"CARA THERAPEUTICS, INC.",2014-01-31,NASDAQ,55000000,11,5000000,CARA,0.110154905,-0.040447504,0.591222031,0.155765921
"MALIBU BOATS, INC.",2014-01-31,NASDAQ,100000012,14,7142858,MBUU,0.01965318,-0.002890116,0.059537633,0.278612848
NEW HOME CO INC.,2014-01-31,New York Stock Exchange,85937500,11,7812500,NWHM,0.12173913,0.105217391,0.18,0.171304348
ULTRAGENYX PHARMACEUTICAL INC.,2014-01-31,NASDAQ,120967749,21,5760369,RARE,-0.04039297,-0.203930135,0.132532754,-0.19563317
BIOCEPT INC,2014-02-05,NASDAQ,19000000,10,1900000,BIOC,-0.070999967,-0.128,-0.195,-0.43
"CONTINENTAL BUILDING PRODUCTS, INC.",2014-02-05,New York Stock Exchange,164710000,14,11765000,CBPX,0.04638472,0.188949523,0.358117326,0.150068281
"GENOCEA BIOSCIENCES, INC.",2014-02-05,NASDAQ,66000000,12,5500000,GNCA,-0.058974359,0.017094017,0.404273504,0.627350513
UNIQURE N.V.,2014-02-05,NASDAQ,91800000,17,5400000,QURE,-0.131176471,-0.061176471,-0.08,-0.361764706
"SESEN BIO, INC.",2014-02-06,NASDAQ,50000000,10,5000000,EBIO,0.033816425,0.092753623,0.549758551,0.224154589
LADDER CAPITAL CORP,2014-02-06,New York Stock Exchange,225250000,17,13250000,LADR,0.030909091,0.018181758,0.057575818,0.076363636
"REVANCE THERAPEUTICS, INC.",2014-02-06,NASDAQ,96000000,16,6000000,RVNC,0.263809571,0.247619095,0.578571524,0.558571429
"CONCERT PHARMACEUTICALS, INC.",2014-02-13,NASDAQ,84000000,14,6000000,CNCE,-0.102857143,-0.106031746,-0.131428571,-0.386666667
"SEMLER SCIENTIFIC, INC.",2014-02-21,NASDAQ,10010000,7,1430000,SMLR,0.208333333,0.158333333,0.078333333,-0.378333333
VARONIS SYSTEMS INC,2014-02-28,NASDAQ,105600000,22,4800000,VRNS,0.130769179,0.448717949,-0.064615385,-0.349230795
"RECRO PHARMA, INC.",2014-03-07,NASDAQ,30000000,8,3750000,REPH,-0.026963658,-0.032825322,-0.141852286,-0.234466589
ACHAOGEN INC,2014-03-12,NASDAQ,72000000,12,6000000,AKAO,0.126070039,0.33540856,-0.030350195,0.108171206
GALMED PHARMACEUTICALS LTD.,2014-03-13,NASDAQ,38304900,13.5,2837400,GLMD,-0.141176471,-0.147058824,-0.441176471,-0.551764706
"CASTLIGHT HEALTH, INC.",2014-03-14,New York Stock Exchange,177600000,16,11100000,CSLT,0.066666667,-0.137333387,-0.52586664,-0.566666667
PAYLOCITY HOLDING CORP,2014-03-19,NASDAQ,119765000,17,7045000,PCTY,-0.224193581,-0.233870968,-0.352580645,-0.290645161
"AKEBIA THERAPEUTICS, INC.",2014-03-20,NASDAQ,100000001,17,5882353,AKBA,0.11441048,-0.173362445,0.134934498,0.215720524
MEDIWOUND LTD.,2014-03-20,NASDAQ,70000000,14,5000000,MDWD,0.100625063,-0.03125,-0.21625,-0.2640625
"Q2 HOLDINGS, INC.",2014-03-20,New York Stock Exchange,100891310,13,7760870,QTWO,-0.049846154,-0.084307692,-0.198153846,-0.041230769
"VERSARTIS, INC.",2014-03-21,NASDAQ,126000000,21,6000000,VSAR,0.107142857,0.070642893,-0.094285679,0.155
TRINET GROUP INC,2014-03-27,New York Stock Exchange,240000000,16,15000000,TNET,0.075135081,0.127027027,0.158378378,0.352432432
"2U, INC.",2014-03-28,NASDAQ,119275000,13,9175000,TWOU,0.114615385,0.068461538,0.128461538,0.280769231
ENERGOUS CORP,2014-03-28,NASDAQ,24000000,6,4000000,WATT,0.263157895,0.578947368,0.181052632,0.435789474
"1347 PROPERTY INSURANCE HOLDINGS, INC.",2014-04-01,NASDAQ,15100000,8,1887500,PIH,-0.0075,0.11875,0.13875,0.08
"RUBICON PROJECT, INC.",2014-04-02,New York Stock Exchange,101564925,15,6770995,RUBI,0.166857143,0.126857086,-0.177142857,-0.177714286
GRUBHUB INC.,2014-04-04,New York Stock Exchange,192545964,26,7405614,GRUB,-0.1505,-0.230499975,-0.232749975,-0.105000025
LA QUINTA HOLDINGS INC.,2014-04-09,New York Stock Exchange,650250000,17,38250000,LQ,0.035820896,0.00119403,-0.024477612,0.137910388
ADAMAS PHARMACEUTICALS INC,2014-04-10,NASDAQ,48000000,16,3000000,ADMS,-0.184569733,-0.220178042,0.142433234,0.070623205
"ENABLE MIDSTREAM PARTNERS, LP",2014-04-11,New York Stock Exchange,500000000,20,25000000,ENBL,0.06046507,0.065116279,0.088837209,0.190232558
FARMLAND PARTNERS INC.,2014-04-11,American Stock Exchange,53200000,14,3800000,FPI,-0.050909091,-0.014545455,-0.043636364,-0.034909091
PHIBRO ANIMAL HEALTH CORP,2014-04-11,NASDAQ,191180880,15,12745392,PAHC,0.014545455,-0.039393939,0.075757576,0.235757515
"PAYCOM SOFTWARE, INC.",2014-04-15,New York Stock Exchange,99675000,15,6645000,PAYC,-0.142458101,-0.116201117,-0.209497207,-0.259776536
SABRE CORP,2014-04-17,NASDAQ,627200000,16,39200000,SABR,-0.017272244,-0.004169267,-0.04169154,0.176295344
"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",2014-04-17,NASDAQ,118750000,9.5,12500000,SPWH,0.021052632,0.065263158,-0.024210526,-0.247368421
VITAL THERAPIES INC,2014-04-17,NASDAQ,54000000,12,4500000,VTL,0.020408163,-0.008163265,-0.007346939,1.093877551
"ALDEYRA THERAPEUTICS, INC.",2014-05-02,NASDAQ,12000000,8,1500000,ALDX,-0.093333333,-0.069333333,-0.188,-0.514666667
"PAPA MURPHY'S HOLDINGS, INC.",2014-05-02,NASDAQ,64166663,11,5833333,FRSH,-0.082644628,-0.074380165,-0.095867769,-0.290247934
SCYNEXIS INC,2014-05-02,NASDAQ,62000000,10,6200000,SCYX,-0.076923077,-0.085128205,-0.143589744,-0.29025641
GASLOG PARTNERS LP,2014-05-07,New York Stock Exchange,176400000,21,8400000,GLOP,0.03137251,0.044313686,0.137254902,0.309411725
ALDER BIOPHARMACEUTICALS INC,2014-05-08,NASDAQ,80000000,10,8000000,ALDR,-0.052173913,-0.024154589,0.511111111,0.536231884
CHEETAH MOBILE INC.,2014-05-08,New York Stock Exchange,168000000,14,12000000,CMCM,-0.072786885,-0.093770492,0.087213115,0.321967213
"K2M GROUP HOLDINGS, INC.",2014-05-08,NASDAQ,132375000,15,8825000,KTWO,0.033333333,0.013333333,-0.002666667,0.124666733
DORIAN LPG LTD.,2014-05-08,New York Stock Exchange,134999997,19,7105263,LPG,-0.018947421,0.001579,0.089473737,0.082105211
PBF LOGISTICS LP,2014-05-09,New York Stock Exchange,316250000,23,13750000,PBFX,-0.016071464,-0.027142857,0.023214286,-0.116785714
TUNIU CORP,2014-05-09,NASDAQ,72000000,9,8000000,TOUR,0.186666667,0.144444444,0.835555556,1.555555556
JUMEI INTERNATIONAL HOLDING LTD,2014-05-16,New York Stock Exchange,245080000,22,11140000,JMEI,-0.115963303,-0.155963303,0.041834826,0.239632991
VANECK MERK GOLD TRUST,2014-05-16,New York Stock Exchange,749852960,13.06,57416000,OUNZ,0.008520527,0.00232378,-0.010844307,0.017041053
TECOGEN INC.,2014-05-20,NASDAQ,3076604,4.75,647706,TGEN,0.315436242,1.048657718,0.05033557,0.005033557
"JD.COM, INC.",2014-05-22,NASDAQ,1780026780,19,93685620,JD,-0.022988506,0.16183908,0.183908046,0.382758667
"PARSLEY ENERGY, INC.",2014-05-23,New York Stock Exchange,925000000,18.5,50000000,PE,0.000448431,0.076233232,0.043049374,-0.064125474
"SUPERIOR DRILLING PRODUCTS, INC.",2014-05-23,American Stock Exchange,27000000,4,6750000,SDPI,0.175,0.175,0.4875,0.5625
RESONANT INC,2014-05-29,NASDAQ,16200000,6,2700000,RESN,-0.05,-0.21,-0.19,-0.199
"ARISTA NETWORKS, INC.",2014-06-06,New York Stock Exchange,225750000,43,5250000,ANET,0.018099548,0.239276036,0.360362063,0.540995457
"RADIUS HEALTH, INC.",2014-06-06,NASDAQ,52000000,8,6500000,RDUS,-0.03362391,-0.00373599,0.889165629,0.743462017
"MOBILEIRON, INC.",2014-06-12,NASDAQ,99999999,9,11111111,MOBL,0.139,0.001,0.026,0.073
FORESIGHT ENERGY LP,2014-06-18,New York Stock Exchange,350000000,20,17500000,FELP,-0.05,-0.0635,0.0205,-0.101
VIPER ENERGY PARTNERS LP,2014-06-18,NASDAQ,130000000,26,5000000,VNOM,0.02793654,0.033650825,0.044444508,-0.045555524
"GOPRO, INC.",2014-06-26,NASDAQ,427200000,24,17800000,GPRO,0.150785375,0.534729529,0.459685864,1.340314241
"MINERVA NEUROSCIENCES, INC.",2014-07-01,NASDAQ,32727270,6,5454545,NERV,0.016666667,-0.011666667,0.171666667,-0.033333333
GLOBEIMMUNE INC,2014-07-02,NASDAQ,15000000,10,1500000,GBIM,0.009090909,0.236363636,-0.153636364,-0.223545455
GLOBANT S.A.,2014-07-18,New York Stock Exchange,58500000,10,5850000,GLOB,-0.104247104,-0.161389961,-0.034749035,0.000772201
"TERRAFORM POWER, INC.",2014-07-18,NASDAQ,501625000,25,20065000,TERP,-0.007817138,0.001202676,-0.058027604,-0.205953049
IMMUNE DESIGN CORP.,2014-07-24,NASDAQ,60000000,12,5000000,IMDZ,-0.012345679,-0.004115226,0.02962963,0.917695391
PFENEX INC.,2014-07-24,American Stock Exchange,49999998,6,8333333,PFNX,-0.066666667,-0.03,0.053333333,0.258333333
"EL POLLO LOCO HOLDINGS, INC.",2014-07-25,NASDAQ,107142855,15,7142857,LOCO,0.414736789,1.055263105,0.643157842,0.789473684
"OCULAR THERAPEUTIX, INC",2014-07-25,NASDAQ,65000000,13,5000000,OCUL,0.003846154,-0.000769231,0.206153846,0.043846154
ORION ENGINEERED CARBONS S.A.,2014-07-25,New York Stock Exchange,351000000,18,19500000,OEC,-0.017977473,-0.044381969,-0.023595507,-0.202808944
"SPARK ENERGY, INC.",2014-07-29,NASDAQ,54000000,18,3000000,SPKE,-0.015555556,-0.035555556,-0.026111111,-0.072222222
WESTLAKE CHEMICAL PARTNERS LP,2014-07-30,New York Stock Exchange,270000000,24,11250000,WLKP,0.00759574,-0.047225923,-0.008916809,-0.0561427
HEALTHEQUITY INC,2014-07-31,NASDAQ,127400000,14,9100000,HQY,-0.08950005,-0.146,-0.025,0.03450005
BIOBLAST PHARMA LTD.,2014-07-31,NASDAQ,35200000,11,3200000,ORPN,-0.222018312,-0.336697211,-0.099082606,-0.478440385
SYNCHRONY FINANCIAL,2014-07-31,New York Stock Exchange,2875000000,23,125000000,SYF,-0.004347826,-0.004782652,0.104347826,0.119565217
"FCB FINANCIAL HOLDINGS, INC.",2014-08-01,New York Stock Exchange,165440000,22,7520000,FCB,0.015609756,0.037073171,0.103414683,0.107804829
"LOXO ONCOLOGY, INC.",2014-08-01,NASDAQ,68399994,13,5261538,LOXO,-0.009181331,-0.004590666,-0.001530222,-0.149196634
AURIS MEDICAL HOLDING AG,2014-08-06,NASDAQ,56400000,6,9400000,EARS,-0.014754098,0.075409836,-0.021311475,-0.262295082
HOEGH LNG PARTNERS LP,2014-08-07,New York Stock Exchange,192000000,20,9600000,HMLP,0.026363636,0.072727273,0.109545455,-0.049545455
"T2 BIOSYSTEMS, INC.",2014-08-07,NASDAQ,57200000,11,5200000,TTOO,-0.117241379,0.060815047,0.231974922,0.036363699
"GREEN BANCORP, INC.",2014-08-08,NASDAQ,70312500,15,4687500,GNBC,0.03848497,0.047648073,0.056811114,0.040317652
"OTONOMY, INC.",2014-08-13,NASDAQ,100000000,16,6250000,OTIC,-0.063430726,-0.117484783,0.065637124,0.29895203
REWALK ROBOTICS LTD.,2014-09-12,NASDAQ,36000000,12,3000000,RWLK,1.646666667,1.2925,1.425833417,0.958333333
FOAMIX PHARMACEUTICALS LTD.,2014-09-18,NASDAQ,40200000,6,6700000,FOMX,-0.225,-0.3125,-0.3125,-0.22125
PROQR THERAPEUTICS N.V.,2014-09-18,NASDAQ,97500000,13,7500000,PRQR,-0.284422111,-0.190954774,-0.414572864,-0.095477387
GRUPO AVAL ACCIONES Y VALORES S.A.,2014-09-23,New York Stock Exchange,1100000007,13.5,81481482,AVAL,0.008888889,0.008148148,-0.07037037,-0.288148148
CITIZENS FINANCIAL GROUP INC/RI,2014-09-24,New York Stock Exchange,3010000000,21.5,140000000,CFG,0.049302279,0.079999953,0.05953493,0.151162791
CYBERARK SOFTWARE LTD.,2014-09-24,NASDAQ,14400000,16,900000,CYBR,0.32600008,0.26,0.18199996,0.59
MEDLEY MANAGEMENT INC.,2014-09-24,New York Stock Exchange,108000000,18,6000000,MDLY,-0.043555032,-0.011771572,-0.017068805,-0.191877575
TRAVELPORT WORLDWIDE LTD,2014-09-25,New York Stock Exchange,480000000,16,30000000,TVPT,-0.05879033,-0.081401974,-0.19841723,-0.039005142
VASCULAR BIOGENICS LTD.,2014-10-01,NASDAQ,40000002,6,6666667,VBLT,-0.003322259,0.142857143,0.104651163,-0.003322259
"VIVINT SOLAR, INC.",2014-10-01,New York Stock Exchange,329600000,16,20600000,VSLR,-0.0446796,-0.15696649,-0.164609053,-0.465608466
ATENTO S.A.,2014-10-02,New York Stock Exchange,150000000,15,10000000,ATTO,-0.072727273,-0.189818182,-0.218181818,-0.297454545
WAYFAIR INC.,2014-10-02,New York Stock Exchange,319000000,29,11000000,W,0.006944444,-0.143055556,-0.309722222,-0.432222194
"DERMIRA, INC.",2014-10-03,NASDAQ,125000000,16,7812500,DERM,-0.130555556,-0.201111111,-0.085000056,0.052777833
"BISON MERGER SUB I, LLC",2014-10-03,New York Stock Exchange,400000000,16,25000000,FMSA,-0.022356495,-0.213897281,-0.234441088,-0.585498489
HUBSPOT INC,2014-10-09,New York Stock Exchange,125000000,25,5000000,HUBS,-0.089529618,-0.181790647,0.106221545,0.014870956
USD PARTNERS LP,2014-10-09,New York Stock Exchange,155040000,17,9120000,USDP,0.012658228,0.025316519,0.055696203,-0.089873418
"DIPLOMAT PHARMACY, INC.",2014-10-10,New York Stock Exchange,173333329,13,13333333,DPLO,-0.006875,0.239375,0.30625,0.637500063
DBV TECHNOLOGIES S.A.,2014-10-22,NASDAQ,92572155,21.64,4277826,DBVT,0.020689611,0.067672368,0.081896505,0.16120689
PROTEON THERAPEUTICS INC,2014-10-22,NASDAQ,61100000,10,6110000,PRTO,-0.115044248,-0.115044248,-0.082300885,-0.027168142
"SHELL MIDSTREAM PARTNERS, L.P.",2014-10-29,New York Stock Exchange,920000000,23,40000000,SHLX,0.0625,0.023125063,0.2159375,0.3025
FIFTH STREET ASSET MANAGEMENT INC.,2014-10-30,NASDAQ,102000000,17,6000000,FSAM,-0.140625,-0.148125,-0.075,-0.141875
ANTERO MIDSTREAM PARTNERS LP,2014-11-05,New York Stock Exchange,1000000000,25,40000000,AM,-0.069180361,-0.056065541,-0.06655741,-0.192786852
"UPLAND SOFTWARE, INC.",2014-11-06,NASDAQ,46153848,12,3846154,UPLD,-0.105454545,0.016363636,-0.018181818,-0.263727273
"FRESHPET, INC.",2014-11-07,NASDAQ,156250005,15,10416667,FRPT,-0.032911392,-0.063291139,-0.159493671,-0.177721519
"TRIUMPH BANCORP, INC.",2014-11-07,NASDAQ,80400000,12,6700000,TBK,0.04679803,0.04679803,0.165024631,0.055829228
"PRA HEALTH SCIENCES, INC.",2014-11-13,NASDAQ,305581392,18,16976744,PRAH,0.051075215,0.136021452,0.203225753,0.419354839
"SKY SOLAR HOLDINGS, LTD.",2014-11-13,NASDAQ,44200000,8,5525000,SKYS,0.099273608,0.17433414,-0.158595642,0.313559322
FIBROGEN INC,2014-11-14,NASDAQ,145800000,18,8100000,FGEN,-0.039565217,0.045217435,0.260869565,0.27826087
LANDMARK INFRASTRUCTURE PARTNERS LP,2014-11-14,NASDAQ,50350000,19,2650000,LMRK,0.050438782,0.060993164,0.049883288,-0.04177319
PEAK RESORTS INC,2014-11-21,NASDAQ,90000000,9,10000000,SKIS,-0.054444444,-0.005555556,-0.166666667,-0.19
HISTOGENICS CORP,2014-12-03,NASDAQ,65000001,11,5909091,HSGX,0.008189263,-0.069689337,-0.037807018,-0.035087719
LENDINGCLUB CORP,2014-12-11,New York Stock Exchange,865500000,15,57700000,LC,-0.026262626,0.171717172,-0.088484889,-0.218181818
"NEW RELIC, INC.",2014-12-12,New York Stock Exchange,115000000,23,5000000,NEWR,0.096485411,0.014588859,0.158488031,0.168766578
WORKIVA INC,2014-12-12,New York Stock Exchange,100800000,14,7200000,WK,-0.021428571,-0.03,0.097857143,0.057142857
"ON DECK CAPITAL, INC.",2014-12-17,New York Stock Exchange,200000000,20,10000000,ONDK,0.093584906,-0.150943396,-0.319622604,-0.213207547
"BELLICUM PHARMACEUTICALS, INC",2014-12-18,NASDAQ,139650000,19,7350000,BLCM,-0.068810996,-0.204397321,0.225570082,0.009771987
ZOSANO PHARMA CORP,2015-01-27,NASDAQ,49500000,11,4500000,ZSAN,-0.089638171,-0.091282884,-0.080592069,-0.243421043
ASCENDIS PHARMA A/S,2015-01-28,NASDAQ,108000000,18,6000000,ASND,-0.129767488,-0.139534884,-0.137209349,-0.040930186
AVINGER INC,2015-01-30,NASDAQ,65000000,13,5000000,AVGR,40.06463878,39.7300362,33.67680608,34.07224426
"SPARK THERAPEUTICS, INC.",2015-01-30,NASDAQ,161000000,23,7000000,ONCE,0.054989005,-0.045232751,0.286031099,0.187804931
SHAKE SHACK INC.,2015-01-30,New York Stock Exchange,105000000,21,5000000,SHAK,-0.029148915,-0.072553191,-0.074468085,0.48297866
"TRACON PHARMACEUTICALS, INC.",2015-01-30,NASDAQ,36000000,10,3600000,TCON,-0.045,-0.073,0.5,0.1745
"EASTERLY GOVERNMENT PROPERTIES, INC.",2015-02-06,New York Stock Exchange,180000000,15,12000000,DEA,-0.046769231,-0.009230769,-0.043076923,-0.020923077
"INOVALON HOLDINGS, INC.",2015-02-12,NASDAQ,599999994,27,22222222,INOV,-0.197225543,-0.083534409,-0.170989144,-0.270205036
GREAT AJAX CORP.,2015-02-13,New York Stock Exchange,71250000,14.25,5000000,AJX,-0.016842105,-0.007017544,0.001403509,-0.037192982
"BELLEROPHON THERAPEUTICS, INC.",2015-02-13,NASDAQ,60000000,12,5000000,BLPH,-0.101,-0.075,0.1,-0.155
WISDOMTREE COAL FUND,2015-02-20,New York Stock Exchange,394582500,40.47,9750000,TONS,-0.016665018,0.009049575,-0.02828605,-0.035703689
SUMMIT THERAPEUTICS PLC,2015-03-05,NASDAQ,34155000,9.9,3450000,SMMT,0.035928144,0.079840319,0.254491018,0.026946108
NATIONAL COMMERCE CORP,2015-03-19,NASDAQ,33150000,19.5,1700000,NCOM,-0.000950024,0.045130691,0.04560575,0.187648512
STEADYMED LTD.,2015-03-20,NASDAQ,39950000,8.5,4700000,STDY,0.04679803,0.043103448,0.169950739,-0.252463054
TANTECH HOLDINGS LTD,2015-03-24,NASDAQ,12800000,4,3200000,TANH,0.48,0.333333333,0.91,2.483333333
"JERNIGAN CAPITAL, INC.",2015-03-27,New York Stock Exchange,100000000,20,5000000,JCAP,0.012468829,0.093715815,0.083241949,0.023940251
KORNIT DIGITAL LTD.,2015-04-02,NASDAQ,71000000,10,7100000,KRNT,0.145833333,0.1275,0.25,0.1925
"ADURO BIOTECH, INC.",2015-04-15,NASDAQ,119000000,17,7000000,ADRO,0.328125,0.209687469,0.010937437,-0.048437469
"VIRTU FINANCIAL, INC.",2015-04-16,NASDAQ,314113168,19,16532272,VIRT,-0.023913,-0.052173957,-0.033478261,0.032173913
"ENVIVA PARTNERS, LP",2015-04-29,New York Stock Exchange,200000000,20,10000000,EVA,0.06949995,0.0675,0.045,-0.208
BLUEPRINT MEDICINES CORP,2015-04-30,NASDAQ,146625012,18,8145834,BPMC,-0.19351394,-0.066780374,0.218690003,0.164924266
OPGEN INC,2015-05-05,NASDAQ,17100000,6,2850000,OPGN,24.80645161,18.07020873,-0.184060721,14.84440228
ADAPTIMMUNE THERAPEUTICS PLC,2015-05-06,NASDAQ,191250000,17,11250000,ADAP,-0.181818182,-0.124675325,-0.220779221,-0.215584416
"HTG MOLECULAR DIAGNOSTICS, INC",2015-05-06,NASDAQ,49980000,14,3570000,HTGM,-0.025,0.023571429,0.219285714,-0.337142857
"COLLEGIUM PHARMACEUTICAL, INC",2015-05-07,NASDAQ,69600000,12,5800000,COLL,0.021666667,0.143333333,0.559166583,0.675833417
"TALLGRASS ENERGY GP, LP",2015-05-07,New York Stock Exchange,1203500000,29,41500000,TEGP,0.023948188,0.024919094,0.013268576,-0.027508123
"BOJANGLES', INC.",2015-05-08,NASDAQ,147250000,19,7750000,BOJA,-0.047102804,0.02056071,-0.082616785,-0.07626172
"ARCADIA BIOSCIENCES, INC.",2015-05-15,NASDAQ,65600000,8,8200000,RKDA,-0.037383178,20.09479306,21.6435255,11.06942617
WINGSTOP INC.,2015-06-12,NASDAQ,110200000,19,5800000,WING,0.012786852,-0.050819639,0.142622885,-0.092786885
CELYAD S.A.,2015-06-19,NASDAQ,100097600,68.56,1460000,CYAD,-0.098597932,-0.198401984,-0.08774316,-0.316448083
CATABASIS PHARMACEUTICALS INC,2015-06-25,NASDAQ,60000000,12,5000000,CATB,0.026687598,-0.000784929,0.14599686,-0.233124019
GLAUKOS CORP,2015-06-25,New York Stock Exchange,108000000,18,6000000,GKOS,0.043971074,-0.045001785,0.113019611,0.001374064
EURONAV MI II INC.,2015-06-25,New York Stock Exchange,210000000,14,15000000,GNRT,0.035294118,0.088627451,0.099607843,-0.037647059
"LANTHEUS HOLDINGS, INC.",2015-06-25,NASDAQ,65000004,6,10833334,LNTH,0.078431373,0.060457516,0.145424837,-0.514705882
MILACRON HOLDINGS CORP.,2015-06-25,New York Stock Exchange,285714280,20,14285714,MCRN,-0.007692308,0.007692308,0.025641026,-0.011282
"ALARM.COM HOLDINGS, INC.",2015-06-26,NASDAQ,98000000,14,7000000,ALRM,0.046106046,0.043613772,0.078504678,-0.17507783
APPFOLIO INC,2015-06-26,NASDAQ,74400000,12,6200000,APPF,0.085106383,0.153027823,0.253682488,0.440261866
"SERES THERAPEUTICS, INC.",2015-06-26,NASDAQ,133749990,18,7430555,MCRB,0.47192986,0.403508772,0.328771895,0.495438561
"CHIASMA, INC",2015-07-16,NASDAQ,101840000,16,6365000,CHMA,-0.008780488,0.203902439,0.319512146,0.06
"OLLIE'S BARGAIN OUTLET HOLDINGS, INC.",2015-07-16,NASDAQ,142800000,16,8925000,OLLI,-0.063492063,-0.081569665,-0.127425,-0.27292769
"MCBC HOLDINGS, INC.",2015-07-17,NASDAQ,91071435,15,6071429,MCFT,0.027096774,0.004516129,0.008129032,-0.132258065
"BLUE BUFFALO PET PRODUCTS, INC.",2015-07-22,NASDAQ,676631080,20,33831554,BUFF,0.039259222,-0.048518481,0.018518519,-0.277407407
"LIVE OAK BANCSHARES, INC.",2015-07-23,NASDAQ,81600000,17,4800000,LOB,0.021621622,0.108108108,0.076216216,0.007026973
VTV THERAPEUTICS INC.,2015-07-30,NASDAQ,117187500,15,7812500,VTVT,-0.242857143,-0.269285714,-0.371428571,-0.467142857
INTEC PHARMA LTD.,2015-08-04,NASDAQ,30150000,6,5025000,NTEC,-0.016666667,0.028333333,-0.085,-0.026666667
"ZYNERBA PHARMACEUTICALS, INC.",2015-08-05,NASDAQ,42000000,14,3000000,ZYNE,-0.084444444,0.606111111,0.611111111,-0.288333333
"AIMMUNE THERAPEUTICS, INC.",2015-08-06,NASDAQ,160000000,16,10000000,AIMT,0.342857143,0.285714286,0.285714286,-0.119428571
"PLANET FITNESS, INC.",2015-08-06,New York Stock Exchange,216000000,16,13500000,PLNT,0.108275862,0.293103448,0.233103379,0.096551724
"CONIFER HOLDINGS, INC.",2015-08-13,NASDAQ,32550000,10.5,3100000,CNFR,0.066666667,0.077948718,0.020512821,-0.057435897
REGENXBIO INC.,2015-09-17,NASDAQ,138600000,22,6300000,RGNX,-0.011896894,-0.194315962,-0.400859253,-0.362194349
NABRIVA THERAPEUTICS PLC,2015-09-18,NASDAQ,92250000,10.25,9000000,NBRV,0.251975417,-0.136962248,-0.091308165,-0.195785777
"ALLEGIANCE BANCSHARES, INC.",2015-10-08,NASDAQ,54600000,21,2600000,ABTX,0.027937961,-0.008869136,0.054989005,0.004878093
"CYTOMX THERAPEUTICS, INC.",2015-10-08,NASDAQ,80000004,12,6666667,CTMX,-0.190625,-0.149375,-0.300625,0.28
FERRARI N.V.,2015-10-21,New York Stock Exchange,893100000,52,17175000,RACE,-0.048833333,-0.099666667,-0.17683335,-0.32183335
OASMIA PHARMACEUTICAL AB,2015-10-23,NASDAQ,9497152,4.06,2339200,OASM,-0.06,0.08,0.0375,-0.03
ADESTO TECHNOLOGIES CORP,2015-10-27,NASDAQ,25000000,5,5000000,IOTS,0.071428571,0.032142857,0.010714286,0.057142857
MYOKARDIA INC,2015-10-29,NASDAQ,54375000,10,5437500,MYOK,-0.05234657,-0.094765343,0.15433213,-0.157490975
FULING GLOBAL INC.,2015-11-04,NASDAQ,20000000,5,4000000,FORK,-0.168932039,-0.26407767,-0.314563107,-0.4
"VOYAGER THERAPEUTICS, INC.",2015-11-11,NASDAQ,70000000,14,5000000,VYGR,0.175496689,0.258278146,0.620529735,-0.343708609
INSTRUCTURE INC,2015-11-13,New York Stock Exchange,70400000,16,4400000,INST,0.148749937,0.137500063,0.2825,-0.080625
MIMECAST LTD,2015-11-19,NASDAQ,77500000,10,7750000,MIME,-0.045454545,-0.074545455,-0.08,-0.137272727
"SQUARE, INC.",2015-11-19,New York Stock Exchange,243000000,9,27000000,SQ,0.242857143,0.075892857,0.107142857,-0.124107143
DULUTH HOLDINGS INC.,2015-11-20,NASDAQ,80000004,12,6666667,DLTH,0.102307692,0.122307692,0.115384615,0.238461538
KITOV PHARMA LTD.,2015-11-20,NASDAQ,13014668,4.12,3158900,KTOV,-0.064417178,-0.156441718,0.180981595,-0.217791411
"CHINA CUSTOMER RELATIONS CENTERS, INC.",2015-12-21,NASDAQ,9600000,4,2400000,CCRC,1.460136674,1.216400911,0.432801822,1.018223235
"BEIGENE, LTD.",2016-02-03,NASDAQ,158400000,24,6600000,BGNE,-0.02830511,-0.034173249,0.070072526,-0.084915398
"CORVUS PHARMACEUTICALS, INC.",2016-03-23,NASDAQ,70500000,15,4700000,CRVS,-0.056666667,-0.002,-0.003333333,-0.172
